NAME,CATEGORY,ADDRESS,LAT,LNG,ID,SCALE,EVENT,TIME_OF_DAY
Teatro Orione ora Ecoteatro,Theater,Via Fezzan 11,45.459072724003505,9.145780775217315,4d41cf1fbd53f04d480a5115,large,All,"Day, Evening"
Red's cess,Concert Hall,,45.464245,9.147996,4e3dde9745dd68e327403145,large,All,"Day, Evening"
Sotterranei Oscuri di Casa Gozzo,Lounge,Via Giuseppe Frua 21/6,45.46447494672292,9.147839845302427,4df3070218a88611c6bb2255,small,"dance, music, acting, magic,comedy","Evening, Night"
Accademia Di Teatroterapia Non Chiamateci Attori,Theater,Via Giovanni Battista Moroni 8,45.46557943509936,9.146488732751003,4dcd458b52b1f8915b78cc68,large,All,"Day, Evening"
la mia ora di yoga,General Entertainment,,45.468348790550806,9.148692151173979,4f15acfae4b0960d02fe2b1d,small,All,"Day, Evening, Night, LateNight"
The Tune,Music Venue,Via Frascati,45.46897894766995,9.145948584818035,4c92423d238c6dcb07e3c655,small,"Musical Theatre, Music","Day, Evening, Night, LateNight"
Teatro del buratto,Theater,Via Mosè Bianchi 84,45.47567227019042,9.145051384030452,4ebfddfc0e019a162ac92d67,large,All,"Day, Evening"
Bea Expo Festival,General Entertainment,Spazio Eventiquattro,45.47755,9.145829,50a63edde4b0451f155359d5,small,All,"Day, Evening, Night, LateNight"
The Mule #2,Lounge,Piazza Napoli 30/7,45.452847,9.151729,5831ee2688cfcc313b9871d8,small,"dance, music, acting, magic,comedy","Evening, Night"
Freesound Scuola di Musica,Music Venue,Via Washington 40,45.45472423944423,9.152980637453174,4f5a893fe4b0695cb957ca73,small,"Musical Theatre, Music","Day, Evening, Night, LateNight"
Arcadia Productions,Theater,via Vespri Siciliani 16,45.45361378455647,9.150428154632381,4c7cb4e92dc195212983bf77,large,All,"Day, Evening"
ludoteca cinofila,Lounge,Piazza Napoli 30/7,45.453128,9.151534,546e41ff498e95cfcd6ef93b,small,"dance, music, acting, magic,comedy","Evening, Night"
Circolo Culturale Shams,General Entertainment,Via Tobruk,45.457085,9.149581,506b0ddce4b0821d1300dcd7,small,All,"Day, Evening, Night, LateNight"
Shams,General Entertainment,"Via Tobruk, 20078 San Colombano al Lambro Milan",45.45637824153889,9.15207071013684,4f09cad2e4b0945c6c4e6424,small,All,"Day, Evening, Night, LateNight"
B&B Romolo Gessi,General Entertainment,,45.45679311387082,9.152732752450726,54023219498e97602cdab3dd,small,All,"Day, Evening, Night, LateNight"
Dea's,Comedy Club,,45.45599183856941,9.153184655992575,4fc52278e4b066035ce1cabf,small,Comedy,"Evening, Night"
Davoli's mansion,Nightclub,,45.4613,9.150368,4c8f72081992a1cd53bbe5fb,small,"dance, music, acting, magic,comedy","Evening, Night"
AlePalooza,Music Venue,via Luchino del Maino 12,45.460052133333335,9.1504167,4df3af77ae609e69dd9a8c2b,small,"Musical Theatre, Music","Day, Evening, Night, LateNight"
SilverMusic,General Entertainment,Via Roncaglia 27,45.459097238949134,9.151867469184278,4ee116afb8f7413830e87dad,small,All,"Day, Evening, Night, LateNight"
Tombino,Lounge,,45.46100883111768,9.153293042812049,4c45ef37f1d80f471579a23c,small,"dance, music, acting, magic,comedy","Evening, Night"
COACH Dj,General Entertainment,Via Roncaglia 27,45.459110026900355,9.151714999792665,4d7248dbff6ba35d69b46b8a,small,All,"Day, Evening, Night, LateNight"
